_id,courseUrl,name_company,upadte_date,rank,amount,age,level,experience,salary,headquarters,technical_requirements,Tên công việc,Mã công việc
6706b3b16ab7bb80c7c1a3b2,https://sieuthivieclam.vn/viec-lam/cong-nhan-lap-dat-cua-CV2022-26514.html,CÔNG TY CỔ PHẦN EUROWINDOW,Ngày cập nhật: 03/11/2022,Nhân viên,10 (10 nam),dưới 40,Lao động phổ thông,Không yêu cầu,13.000.000VNĐ,Quận 1,"['\n - Nam, 18-40 tuổi.', '\n - Có sức khỏe tốt, không sợ độ cao', '\n - Có Xe Máy di chuyển', '\n - Ưu tiên nam đã từng làm ở công trình xây dựng hoặc bốc vác hoặc nhôm kính.', '\n \xa0']",CÔNG NHÂN LẮP ĐẶT CỬA,CV2022-26514
6706b3b16ab7bb80c7c1a3b3,https://sieuthivieclam.vn/viec-lam/nhan-vien-van-phong-CV2022-26520.html,CÔNG TY TNHH TƯ VẤN DỊCH THUẬT TUÂN CALI,Ngày cập nhật: 07/11/2022,Nhân viên,2 (2 nữ),Trên 21 tuổi,Cao đẳng,Không yêu cầu,7.000.000VNĐ,Quận 1,"['\n - Làm nhân viên văn phòng cho công ty chuyên về tư vấn dịch thuật', '\n - Thời gian làm việc: Giờ hành chánh']",NHÂN VIÊN VĂN PHÒNG,CV2022-26520
6706b3b26ab7bb80c7c1a3b4,https://sieuthivieclam.vn/viec-lam/to-chuc-bieu-dien--ky-thuat-am-thanh--hanh-chanh-tong-hop-CV2022-26494.html,TRUNG TÂM CA NHẠC NHẸ TPHCM,Ngày cập nhật: 09/11/2022,Nhân viên,8,0,Trung cấp,Không yêu cầu,Thoả thuận,Quận 3,['\n - Làm việc cho Trung Tâm Ca Nhạc Nhẹ TP.HCM'],TỔ CHỨC BIỂU DIỄN / KỸ THUẬT ÂM THANH / HÀNH CHÁNH,CV2022-26494
6706b3b26ab7bb80c7c1a3b5,https://sieuthivieclam.vn/viec-lam/tho-do-cat-dan-bang-tai-CV2022-26523.html,CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT MINH ĐĂNG,Ngày cập nhật: 11/11/2022,Nhân viên,10,18 tuổi trở lên,Lao động phổ thông,Không yêu cầu,10.000.000VNĐ,Quận 12,"['\n - Số lượng: 05 - 10 người', '\n - Giới tính: Nam', '\n - Trình độ: không yêu cầu', '\n - kinh nghiệm: không yêu cầu', '\n - Độ tuổi: 18 tuổi trở lên', '\n - Có sức khỏe tốt, chăm chỉ, gắn bó lâu dài với công ty']",CẦN TUYỂN LĐPT NAM,CV2022-26523
6706b3b26ab7bb80c7c1a3b6,https://sieuthivieclam.vn/viec-lam/phuc-vu-thu-ngan-CV2022-26531.html,HỆ THỐNG BÒ TƠ TÂY NINH,Ngày cập nhật: 18/11/2022,Nhân viên,11,18 - 25,Lao động phổ thông,Không yêu cầu,8.000.000VNĐ,Quận Gò Vấp,"['\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ']",PHỤC VỤ/ THU NGÂN,CV2022-26531
6706b3b56ab7bb80c7c1a3b7,https://sieuthivieclam.vn/viec-lam/ke-toan-CV2022-26533.html,CTY CPĐTXD và KTKS VIỆT LONG,Ngày cập nhật: 18/11/2022,Nhân viên,1,24 tuổi trở lên,Cao đẳng,1,10.000.000VNĐ,Quận Gò Vấp,"['\n - Số lượng: 01 nhân viên', '\n - Độ tuổi: từ 24 tuổi trở lên', '\n - Có kinh nghiệm kế toán tối thiểu 01 năm', '\n - Tốt ngiệp cao đẳng, đại học chuyên ngành kế toán', '\n - Thành thạo Word, Excel trên máy tính', '\n - Sử dụng thành thạo phần mềm Misa là lợi thế', '\n - Trung thực, cẩn thận, nhiệt tình trong công việc.', '\n - Bảo mật thông tin liên quan đến công việc, có trách nhiệm trong công việc']",KẾ TOÁN VIÊN,CV2022-26533
6706b3b66ab7bb80c7c1a3b8,https://sieuthivieclam.vn/viec-lam/nhan-vien-ke-toan-CV2022-26534.html,CÔNG TY TNHH TRÍ ĐẠT,Ngày cập nhật: 21/11/2022,Nhân viên,2 (2 nữ),Dưới 30 tuổi,Cao đẳng,Không yêu cầu,8.000.000VNĐ,Quận 3,"['\n - Làm việc cho công ty chuyên về xây dựng dân dụng, hạ tậng', '\n - Thời gian làm việc: 8g00 - 16g30, từ T2 - T6']",NHÂN VIÊN KẾ TOÁN,CV2022-26534
6706b3b66ab7bb80c7c1a3b9,https://sieuthivieclam.vn/viec-lam/cong-nhan-xay-dung-CV2022-26526.html,CÔNG TY TNHH PHÁT TRIỂN XÂY DỰNG KIM THỦY,Ngày cập nhật: 22/11/2022,Nhân viên,30 (30 nam),Dưới 40 tuổi,Lao động phổ thông,Không yêu cầu,7.500.000VNĐ,Quận Thủ Đức,"['\n ', ' tuyến Metro Bến Thành – Suối Tiên (tuyến số 1)', '\n ', ' làm công nhân thi công trên công trường / không tùy ý nghỉ phép / không sợ nắng và siêng năng làm việc và nghe theo sự sắp xếp công việc của cán bộ .', '\n ', ' Từ thứ 2 đến thứ 7 , thời gian từ 7h30 đến 16h30 hoặc từ 8h00 đến 17h00']",CÔNG NHÂN XÂY DỰNG,CV2022-26526
6706b3b66ab7bb80c7c1a3ba,https://sieuthivieclam.vn/viec-lam/ngay-hoi-tuyen-dung-mua-cuoi-nam-tai-central-retail-in-vietnam-CV2022-26527.html,CENTRAL RETAIL IN VIETNAM,Ngày cập nhật: 22/11/2022,Nhân viên,50 (25 nam - 25 nữ),0,Trung cấp,Không yêu cầu,9.000.000VNĐ,"Quận 1, Quận 2, Quận 3, Quận 4, Quận 5, Quận 6, Quận 7, Quận 8, Quận 9, Quận Phú nhuận, Quận Tân Bình, Quận Thủ Đức","['\n - Giới tính: Nam, nữ, khác', '\n - Học vấn: THPT trở lên', '\n - Tuổi: trên 18 tuổi', '\n - Ưu tiên các ứng viên có kinh nghiệm tại vị trí tương đương']",NHÂN VIÊN SIÊU THỊ,CV2022-26527
6706b3b86ab7bb80c7c1a3bb,https://sieuthivieclam.vn/viec-lam/nhan-vien-kinh-doanh-CV2022-26544.html,CÔNG TY TNHH ATLANTIC IT,Ngày cập nhật: 06/12/2022,Nhân viên,1 (1 nam),Trên 18,Lao động phổ thông,Không yêu cầu,Thoả thuận,Quận 7,"['\n - Làm việc cho công ty bán các sản phẩm linh kiện điện tử', '\n - Nhân viên kinh doanh sẽ đi giới thiệu các sản phẩm của công ty đến khách hàng, giao tiếp để có được đơn đặt hàng.', '\n - Thời gian làm việc: Bán thời gian, ít nhất 3 tiếng/ngày (trao đổi thêm khi phỏng vấn)']",NHÂN VIÊN KINH DOANH,CV2022-26544
6706b3bb6ab7bb80c7c1a3bc,https://sieuthivieclam.vn/viec-lam/nhan-vien-kinh-doanh-CV2022-26543.html,CÔNG TY CỔ PHẦN HUY HOÀNG MÔI TRƯỜNG XANH,Ngày cập nhật: 06/12/2022,Nhân viên,5,22 - 30 tuổi,Trung cấp,Không yêu cầu,Thoả thuận,Quận Bình Tân,"['\n ', '\n ', '\n ', '\n ', '\n ']",NHÂN VIÊN KINH DOANH,CV2022-26543
