name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,35.0,Đại học,Không yeu cau,Thoả thuận,NHÂN VIÊN PHÒNG HỢP TÁC PHÁT TRIỂN,CV2024-26957
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,35.0,Đại học,Không yeu cau,Thoả thuận,NHÂN VIÊN PHÒNG HÀNH CHÁNH TỔ CHỨC,CV2024-26958
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,40.0,Đại học,Không yeu cau,Thoả thuận,GIÁO VIÊN,CV2024-26959
CÔNG TY TNHH KOUPLE,12/06/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,6.500.000VNĐ,NHÂN VIÊN PHỤC VỤ,CV2024-26961
CTY TNHH CÔNG NGHIỆP THỰC PHẨM LIWAYWAY SÀI GÒN_Oishi,14/06/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,8.450.000VNĐ,NHÂN VIÊN GIAO HÀNG TẠI TP.HCM,CV2024-26941
CÔNG TY TNHH CẤP NƯỚC TÓC TIÊN,04/07/2024,Nhân viên,0.0,Đại học,Không yeu cau,10.000.000VNĐ,KỸ SƯ XÂY DỰNG (NGÀNH CẤP NƯỚC),CV2024-26966
CÔNG TY TNHH SUẤT ĂN CÔNG NGHIỆP HẢI YẾN,11/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN PHỤC VỤ BẾP,CV2024-26968
HỆ THỐNG GIÁO DỤC ATY,12/07/2024,Nhân viên,0.0,Cao đẳng,một,15.000.000VNĐ,QUẢN LÝ KÝ TÚC XÁ,CV2024-26969
TRUNG TÂM PHÁT TRIỂN NHÂN LỰC HITECO,15/07/2024,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,TƯ VẤN VIÊN / THỰC TẬP SINH TẠI NHẬT,CV2024-26971
Cty TNHH TM – DV – TV  HIỆP THÀNH TÍN,17/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2024-26973
HAIR SALON BOBO,23/07/2024,Nhân viên,30.0,Lao động phổ thông,Không yeu cau,Thoả thuận,THỢ LÀM TÓC / LỄ TÂN,CV2024-26980
Tư Nhân Nguyễn Thị Ánh,26/07/2024,Nhân viên,45.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,Giúp Việc Nhà ( Bao ăn ở ),CV2024-26981
GIA ĐÌNH CHỊ NGUYỄN THỊ THIÊN HƯƠNG,29/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,2.500.000VNĐ,GIÚP VIỆC NHÀ THEO GIỜ,CV2024-26977
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,02/08/2024,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,BẢO VỆ / QUẢN LÝ KÝ TÚC XÁ / GIÁO VIÊN,CV2024-26984
CÔNG TY TNHH XE NÂNG MIỀN NAM,02/08/2024,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,13.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2024-26991
CÔNG TY TNHH TƯ VẤN ANH PHONG,02/08/2024,Nhân viên,,Trung cấp,hai,10.000.000VNĐ,KẾ TOÁN VIÊN - KẾ TOÁN TỔNG HỢP,CV2024-26982
CÔNG TY TNHH THIẾT BỊ VĂN PHÒNG GIA THỊNH,06/08/2024,Nhân viên,,Trung cấp,Không yeu cau,14.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2024-26992
CÔNG TY TNHH SƠN HÀ CT,16/08/2024,Nhân viên,,Cao đẳng,hai,Thoả thuận,NHÂN VIÊN KỸ THUẬT,CV2024-26998
TỔNG CÔNG TY CỔ PHẦN NOVA SERVICE,14/08/2024,Nhân viên,0.0,Cao đẳng,Không yeu cau,7.500.000VNĐ,CHUYÊN VIÊN KINH DOANH,CV2024-26993
BẢO HIỂM CÔNG NGHỆ FWD,15/08/2024,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2024-26994
CÔNG TY TNHH XE NÂNG MIỀN NAM,02/08/2024,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,13.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2024-26991
CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,03/06/2024,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN BÁN HÀNG QUA ĐIỆN THOẠI,CV2024-26884
CÔNG TY TNHH XE NÂNG MIỀN NAM,02/08/2024,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,13.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2024-26991
CÔNG TY TNHH THIẾT BỊ VĂN PHÒNG GIA THỊNH,06/08/2024,Nhân viên,,Trung cấp,Không yeu cau,14.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2024-26992
SPA SEN TÀI THU,02/05/2024,Nhân viên,45.0,Lao động phổ thông,Không yeu cau,Thoả thuận,TRỊ LIỆU VIÊN/HỌC NGHỀ TRỊ LIỆU,CV2024-26923
CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ MỸ ĐÌNH,28/03/2024,Nhân viên,0.0,Trung cấp,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2024-26895
HỘ GIA ĐÌNH NGUYỄN VĂN NGỌC,08/11/2023,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,Marketing online,CV2023-26738
KHÁCH SẠN SÀI GÒN MIA,03/01/2024,Nhân viên,45.0,Lao động phổ thông,một,7.000.000VNĐ,BUỒNG PHÒNG / KẾ TOÁN,CV2023-26811
TRƯỜNG THPT THỦ KHOA HUÂN,03/10/2023,Nhân viên,,Trung cấp,Không yeu cau,Thoả thuận,NHÂN VIÊN BẢO TRÌ ĐIỆN/NƯỚC,CV2023-26803
CÔNG TY CỔ PHẦN ĐIỆN TỬ VIỄN THÔNG TOÀN TRUNG,04/08/2023,Nhân viên,,Trung cấp,một,Thoả thuận,KỸ THUẬT CƠ KHÍ/ THI CÔNG LẮP ĐẶT/ KẾ TOÁN NỘI BỘ,CV2023-26586
KHÁCH SẠN - NHÀ HÀNG LÚA ĐẠI VIỆT,20/06/2023,Nhân viên,0.0,Chứng chỉ - Sơ cấp nghề,một,Thoả thuận,"CV THIẾT KẾ, QUAY DỰNG/ NV TIKTOK ẨM THỰC/ THỰC TẬP SINH MARKETING/ CV MARKETING",CV2023-26709
anh Nam,03/05/2023,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,Giáo viên dạy kèm HS lớp năm (gói CTV),CV2023-26714
CÔNG TY TÀI CHÍNH TNHH MTV SHINHAN VIỆT NAM,28/03/2023,Nhân viên,,Trung cấp,Không yeu cau,6.250.000VNĐ,NHÂN VIÊN TƯ VẤN TÍN DỤNG,CV2023-26660
VĂN PHÒNG THỪA PHÁT LẠI  HUYỆN HÓC MÔN,20/02/2023,Nhân viên,50.0,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN GIAO NHẬN CHỨNG TỪ,CV2023-26619
ĐỘI BỐC XẾP GA SÓNG THẦN,02/02/2023,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,BỐC XẾP GA SÓNG THẦN,CV2023-26583
CÔNG TY TNHH TƯ VẤN DỊCH THUẬT TUÂN CALI,28/11/2022,Nhân viên,21.0,Cao đẳng,Không yeu cau,7.000.000VNĐ,BIÊN DỊCH VIÊN,CV2022-26401
TRƯỜNG THPT THỦ KHOA HUÂN,18/10/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,Thoả thuận,"Bảo trì / Sửa chữa , Điện / Cấp Thoát Nước ; Tạp Vụ-Lao Công ; Phụ Bếp",CV2022-26393
Công ty TNHH ALPHA Việt Nam (KIRIFURI),19/09/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,12.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG/GIAO NƯỚC/TIẾP THỊ NƯỚC,CV2022-26463
Cty TNHH TM – DV – TV  HIỆP THÀNH TÍN,19/08/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,11.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2022-26413
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ THƯƠNG MẠI QUỐC TẾ VIỆT AN,19/08/2022,Nhân viên,18.0,Cao đẳng,hai,9.000.000VNĐ,Nhân Viên Kế Toán Kho Đi Làm Ngay,CV2022-26415
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ THƯƠNG MẠI QUỐC TẾ VIỆT AN,19/08/2022,Nhân viên,,Trung cấp,ba,9.000.000VNĐ,Nhân Viên Thủ Kho Làm Việc Tại Hồ Chí Minh,CV2022-26416
CÔNG TY DỆT NGỌC VÂN,19/08/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,Thoả thuận,LAO ĐỘNG PHỔ THÔNG,CV2022-26418
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ ĐẤT XANH MIỀN NAM,19/08/2022,Nhân viên,,Trung cấp,Không yeu cau,15.000.000VNĐ,NHÂN VIÊN KINH DOANH ( BĐS),CV2022-26367
CÔNG TY CỔ PHẦN VINHOMES,06/09/2022,Nhân viên,50.0,Lao động phổ thông,Không yeu cau,7.500.000VNĐ,BẢO VỆ,CV2022-26432
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ PHẠM GIA GROUP,20/08/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,IN 3D TRÊN GIÀY,CV2022-26405
AQUA SPA,06/09/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN GỘI ĐẦU / CHĂM SÓC DA,CV2022-26433
VỰA VE CHAI – ANH TUẤN,06/09/2022,Nhân viên,20.0,Lao động phổ thông,Không yeu cau,9.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG (BAO ĂN Ở),CV2022-26434
CÔNG TY TNHH MTV TÀI CHÍNH SHINHAN VIỆT NAM,07/09/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,Nhân viên Văn phòng (Telesale Data có Sẵn),CV2022-26422
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,07/09/2022,Nhân viên,55.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,BẢO VỆ / TẠP VỤ / PHỤ BẾP,CV2022-26435
PHÂN VIỆN CƠ ĐIỆN NÔNG NGHIỆP VÀ CÔNG NGHỆ STH (FOLI),08/09/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,300.000VNĐ,CÔNG NHÂN SẢN XUẤT THỰC PHẨM,CV2022-26437
CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG Ô VAN,12/09/2022,Nhân viên,,Trung cấp,Không yeu cau,Thoả thuận,KỸ THUẬT CÔNG TRÌNH + KINH TẾ XÂY DỰNG,CV2022-26444
"CTY THIÊN AN LỘC, MỸ PHẨM DR.D’S FORMULA",12/09/2022,Nhân viên,18.0,Trung học phổ thông,Không yeu cau,50.000VNĐ,NHÂN VIÊN BÁN HÀNG,CV2022-26436
CÔNG TY TNHH TM DV KỸ THUẬT CƠ ĐIỆN LẠNH HÀ GIANG,12/09/2022,Nhân viên,35.0,Cao đẳng,Không yeu cau,12.000.000VNĐ,GIÁM SÁT CÔNG TRÌNH,CV2022-26445
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI MF,12/09/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2022-26447
CÔNG TY TNHH THIÊN PHÚC,12/09/2022,Nhân viên,,Trung học phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2022-26449
T PRODUCTION,13/09/2022,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,Tổ chức sản xuất chương trình,CV2022-26450
CÔNG TY TNHH DỊCH VỤ GIÁO DỤC TƯ VẤN DU HỌC TÀI NĂNG VIỆT,14/09/2022,Nhân viên,30.0,Cao đẳng,Không yeu cau,7.000.000VNĐ,TƯ VẤN - GHI DANH,CV2022-26453
Cty TNHH TM – DV – TV  HIỆP THÀNH TÍN,19/09/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,11.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2022-26462
HỘ KINH DOANH KHANG LUXURY,22/09/2022,Nhân viên,,Trung học phổ thông,Không yeu cau,8.000.000VNĐ,BÁN HÀNG/CSKH/KINH DOANH/KẾ TOÁN BÁN HÀNG,CV2022-26426
CÔNG TY CỎ PHẦN ĐẦU TƯ VÀ DỊCH VỤ CẢNG HÀNG KHÔNG VIỆT NAM,26/09/2022,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHA CHẾ / PHỤC VỤ,CV2022-26469
CÔNG TY TÀI CHÍNH MIRAE ASSET (VIỆT NAM),26/09/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,BÁN HÀNG QUA ĐIỆN THOẠI (TELESALES),CV2022-26470
QUÁN BÚN BÒ QUẬN 1,26/09/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ,CV2022-26471
CÔNG TY TNHH TM NHƯ HẢI  CÁT TƯỜNG,26/09/2022,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN KẾ TOÁN BÁN HÀNG,CV2022-26448
CÔNG TY TNHH THIÊN PHÚC,27/09/2022,Nhân viên,30.0,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN KẾ TOÁN/VĂN PHÒNG/KINH DOANH,CV2022-26474
CÔNG TY CỔ PHẦN THƯ PHÁP VIỆT,27/09/2022,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,9.000.000VNĐ,CTV BÁN HÀNG/ GIAO HÀNG/ VĂN PHÒNG/ SALES/ TRUYỀN THÔNG/ TRỢ LÝ GIÁM ĐỐC,CV2022-26458
CÔNG TY ĐỊA ỐC MINH ĐỨC,04/10/2022,Nhân viên,,Đại học,Không yeu cau,12.000.000VNĐ,NHÂN VIÊN KẾ TOÁN/ NHÂN VIÊN IT/KINH DOANH/TRƯỞNG PHÓ PHÒNG KINH DOANH,CV2022-26478
Công ty TNHH Trang Trí Nét Việt,04/10/2022,Nhân viên,,Trung cấp,một,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2022-26477
CÔNG TY TNHH TƯ VẤN TÀI CHÍNH AN TRÍ VIỆT,07/10/2022,Nhân viên,,Cao đẳng,một,Thoả thuận,KẾ TOÁN VIÊN,CV2022-26481
CÔNG TY TNHH TƯ VẤN THIẾT KẾ KIẾN TRÚC VÀ CẢNH QUAN THỦY ANH,07/10/2022,Nhân viên,0.0,Cao đẳng,Không yeu cau,8.000.000VNĐ,VĂN PHÒNG / KẾ TOÁN TỔNG HỢP,CV2022-26482
CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ HẬU CẦN THĂNG LONG,07/10/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2022-26483
CƠ SỞ SẢN XUẤT BÁNH MÌ QUẬN TÂN BÌNH,12/10/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,12.000.000VNĐ,THỢ LÀM BÁNH MÌ/ THỢ PHỤ LÀM BÁNH MÌ (BAO ĂN Ở),CV2022-26487
CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU (ANNAM GOURMET),13/10/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,6.500.000VNĐ,NHÂN VIÊN SIÊU THỊ,CV2022-26488
CTY TNHH  ASIA GLOBAL TOPSTAR STANDARD,13/10/2022,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,20.000.000VNĐ,KINH DOANH/HÀNH CHÁNH NHÂN SỰ/GIÁM ĐỐC KINH DOANH,CV2022-26485
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ NASA,15/10/2022,Nhân viên,30.0,Cao đẳng,Không yeu cau,9.800.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2022-26489
Công ty TNHH ALPHA Việt Nam (KIRIFURI),17/10/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,12.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG/GIAO NƯỚC/TIẾP THỊ NƯỚC,CV2022-26491
CÔNG TY TNHH KỸ THUẬT TRƯỜNG THỊNH,18/10/2022,Nhân viên,,Cao đẳng,hai,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2022-26486
TRƯỜNG THPT THỦ KHOA HUÂN,18/10/2022,Nhân viên,55.0,Lao động phổ thông,Không yeu cau,Thoả thuận,KỸ THUẬT ĐIỆN / TẠP VỤ / BẢO VỆ / PHỤ BẾP,CV2022-26259
CÔNG TY TNHH WONDER TRAVEL,24/10/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN CÔNG TY DU LỊCH,CV2022-26500
QUÁN TRÀ SỮA TT,26/10/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,Thoả thuận,BÁN HÀNG / BẢO VỆ,CV2022-26503
CTY TNHH NGUYÊN KHANG,27/10/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG (BAO ĂN Ở),CV2022-26504
TRƯỜNG THPT THỦ KHOA HUÂN,27/10/2022,Nhân viên,55.0,Lao động phổ thông,Không yeu cau,Thoả thuận,TẠP VỤ / PHỤ BẾP,CV2022-26505
NHÀ HÀNG BA SON,27/10/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN NHÀ HÀNG (bao ăn ở),CV2022-26506
CHỢ HẠNH THÔNG TÂY,31/10/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.500.000VNĐ,NHÂN VIÊN BÁN HÀNG,CV2022-26273
Công ty TNHH Việt Mỹ -SSU,31/10/2022,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,CHĂM SÓC KHÁCH HÀNG ĐIỆN LẠNH/ APP THỨC ĂN,CV2021-25938
TƯ NHÂN – CHỊ NGỌC THANH,01/11/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,GIA SƯ / GIÚP VIỆC NHÀ (BAO ĂN Ở),CV2022-26511
KAMSO MEDICAL SPA,01/11/2022,Nhân viên,35.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,KỸ THUẬT VIÊN XOA BÓP,CV2022-26512
CÔNG TY PROFILAND,03/11/2022,Nhân viên,,Chứng chỉ - Sơ cấp nghề,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2022-26515
CÔNG TY CỔ PHẦN EUROWINDOW,03/11/2022,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,13.000.000VNĐ,CÔNG NHÂN LẮP ĐẶT CỬA,CV2022-26514
CÔNG TY TNHH TƯ VẤN DỊCH THUẬT TUÂN CALI,07/11/2022,Nhân viên,21.0,Cao đẳng,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN VĂN PHÒNG,CV2022-26520
TRUNG TÂM CA NHẠC NHẸ TPHCM,09/11/2022,Nhân viên,0.0,Trung cấp,Không yeu cau,Thoả thuận,TỔ CHỨC BIỂU DIỄN / KỸ THUẬT ÂM THANH / HÀNH CHÁNH,CV2022-26494
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT MINH ĐĂNG,11/11/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,CẦN TUYỂN LĐPT NAM,CV2022-26523
HỆ THỐNG BÒ TƠ TÂY NINH,18/11/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,PHỤC VỤ/ THU NGÂN,CV2022-26531
CTY CPĐTXD và KTKS VIỆT LONG,18/11/2022,Nhân viên,24.0,Cao đẳng,một,10.000.000VNĐ,KẾ TOÁN VIÊN,CV2022-26533
CÔNG TY TNHH TRÍ ĐẠT,21/11/2022,Nhân viên,30.0,Cao đẳng,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2022-26534
CÔNG TY TNHH PHÁT TRIỂN XÂY DỰNG KIM THỦY,22/11/2022,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,7.500.000VNĐ,CÔNG NHÂN XÂY DỰNG,CV2022-26526
CENTRAL RETAIL IN VIETNAM,22/11/2022,Nhân viên,0.0,Trung cấp,Không yeu cau,9.000.000VNĐ,NHÂN VIÊN SIÊU THỊ,CV2022-26527
CÔNG TY TNHH ATLANTIC IT,06/12/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2022-26544
CÔNG TY CỔ PHẦN HUY HOÀNG MÔI TRƯỜNG XANH,06/12/2022,Nhân viên,,Trung cấp,Không yeu cau,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2022-26543
KHÁCH SẠN BÌNH MINH LÊ LAI,06/12/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,LỄ TÂN / BẢO VỆ,CV2022-26545
KHÁCH SẠN VŨ GIA,09/12/2022,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,TIẾP TÂN/ DỌN PHÒNG,CV2022-26546
CÔNG TY TNHH MTV THẢO CẦM VIÊN SÀI GÒN,14/12/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN THẢO CẦM VIÊN SÀI GÒN,CV2022-26551
XÍ NGHIỆP SẢN XUẤT DỊCH VỤ (CÔNG TY TNHH MTV THẢO CẦM VIÊN SÀI GÒN),14/12/2022,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,KỸ THUẬT VIÊN / CÔNG NHÂN CÂY XANH / BÁC SĨ THÚ Y,CV2022-26552
CÔNG TY TNHH QUANG GIẢNG,26/12/2022,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,KẾ TOÁN KHO (THÁNG TIẾP SỨC 2022),CV2022-26558
CÔNG TY TNHH QUANG GIẢNG,26/12/2022,Nhân viên,20.0,Cao đẳng,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN KINH DOANH (THÁNG TIẾP SỨC 2022),CV2022-26559
HỌC VIỆN KIM TUYẾN,26/12/2022,Nhân viên,30.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN TƯ VẤN (THÁNG TIẾP SỨC 2022),CV2022-26569
CÔNG TY TNHH QUANG CẢNH XANH,26/12/2022,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN CHĂM SÓC CÂY CẢNH (THÁNG TIẾP SỨC 2022),CV2022-26570
CÔNG TY TNHH HITEK,09/01/2023,Nhân viên,0.0,Trung cấp,Không yeu cau,7.000.000VNĐ,KẾ TOÁN KINH DOANH (THÁNG TIẾP SỨC 2022),CV2023-26576
NHÀ HÀNG CHIYODA SUSHI - CÔNG TY CP CHIYODA SUSHI V LOTUS,03/01/2023,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ / PHỤ BẾP (THÁNG TIẾP SỨC 2022),CV2022-26566
CÔNG TY CP TMDV CỔNG VÀNG ( CHI NHÁNH MIỀN NAM),27/01/2023,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN NHÀ HÀNG,CV2023-26577
Trung tâm Phục hồi chức năng và trợ giúp trẻ khuyết tật,17/01/2023,Nhân viên,18.0,Đại học,Không yeu cau,Thoả thuận,VIÊN CHỨC TRUNG TÂM PHỤC HỒI CHỨC NĂNG VÀ TRỢ GIÚP TRẺ KHUYẾT TẬT,CV2023-26579
CÔNG TY TNHH QUỐC CƠ QUỐC NGHIỆP,29/12/2022,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,BÁN HÀNG ONLINE / TRƯỞNG PHÒNG BÁN HÀNG,CV2022-26571
Công ty TNHH Công nghệ Nông nghiệp Shinada,30/01/2023,Nhân viên,,Trung cấp,Không yeu cau,12.000.000VNĐ,NHÂN VIÊN KINH DOANH (SALES),CV2022-26550
QUÁN TRÀ SỮA GREAT FOOD,01/02/2023,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ / PHA CHẾ / TỔ TRƯỞNG (BAO ĂN Ở),CV2023-26582
QUÁN TRÀ SỮA GREAT FOOD,01/02/2023,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ / PHA CHẾ / TỔ TRƯỞNG (BAO ĂN Ở),CV2023-26581
CTY TNHHTM DU LỊCH VẬN TẢI KING CAR,02/02/2023,Nhân viên,2.0,Trung cấp,Không yeu cau,Thoả thuận,NHÂN VIÊN VĂN PHÒNG,CV2023-26580
MÂY TRẮNG LAUNDRY,03/02/2023,Nhân viên,,Trung học phổ thông,Không yeu cau,7.500.000VNĐ,TIẾP TÂN,CV2023-26584
CÔNG TY TNHH VẬN TẢI Ô TÔ VINA VINATRANS (VTRUCK),06/02/2023,Nhân viên,0.0,Trung cấp,một,8.000.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2023-26587
CÔNG TY TNHH SONG NGỌC LAN,06/02/2023,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,KẾ TOÁN / SALE ADMIN / GIAO NHẬN,CV2023-26590
CÔNG TY CỔ PHẦN DỆT MAY 7,07/02/2023,Nhân viên,,Đại học,hai,Thoả thuận,QUẢN TRỊ CÔNG TY / KẾ TOÁN,CV2022-26536
CÔNG TY TNHH THIÊN PHÚC,07/02/2023,Nhân viên,30.0,Trung học phổ thông,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN KINH DOANH/THI CÔNG,CV2023-26591
CÔNG TY TNHH DOMANI,08/02/2023,Nhân viên,4.0,Cao đẳng,Không yeu cau,9.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2023-26594
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,09/02/2023,Nhân viên,55.0,Lao động phổ thông,Không yeu cau,Thoả thuận,BẢO VỆ,CV2023-26597
Công ty TNHH Công nghệ NHONHO,09/02/2023,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,KINH DOANH / KIỂM NGHIỆM / TELESALES,CV2022-26568
SPA KIM,13/02/2023,Nhân viên,35.0,Lao động phổ thông,Không yeu cau,Thoả thuận,LỄ TÂN / NHÂN VIÊN SPA,CV2023-26603
CÔNG TY TNHH THỊNH PHÁT,14/02/2023,Nhân viên,,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN GIAO HÀNG ( GIAO GAS) ( Bao ăn ở),CV2023-26607
