name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
CÔNG TY CỔ PHẦN ĐẦU TƯ NGỌC PHƯƠNG ĐÔNG,18/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 2,NHÂN VIÊN TELESALES / CHUYÊN VIÊN KINH DOANH,CV2021-26093
TRƯỜNG THPT THỦ KHOA HUÂN,20/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,PHỤ BẾP (GẮN BÓ LÂU DÀI),CV2021-26094
AGRIBank Chi Nhánh 3,22/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,VĂN THƯ,CV2021-26097
CN CÔNG TY CP DỊCH VỤ BẢO VỆ HÙNG VƯƠNG,22/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 12, Huyện Củ Chi",NHÂN VIÊN BẢO VỆ - NHÂN VIÊN CƠ ĐỘNG,CV2021-26098
CƠ SỞ DỆT CÁT LA,22/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Tân,LAO ĐỘNG PHỔ THÔNG-PHỤ MÁY DỆT,CV2021-26100
Nhà hàng Cốm Mộc,23/12/2021,Nhân viên,,3,Không yeu cau,Quận 2,BẾP CHÍNH / PHỤC VỤ / PHỤ BẾP / PHA CHẾ,CV2021-26083
TƯ NHÂN - CÔ MỘNG OANH,23/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,GIÚP VIỆC NHÀ (BAO ĂN Ở),CV2021-26101
Công ty FPT Telecom-Chi nhánh Củ Chi,27/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Củ Chi,LAO ĐỘNG PHỔ THÔNG,CV2021-26104
Ngân hàng OCB,29/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,CỘNG TÁC VIÊN THẨM ĐỊNH QUA ĐIỆN THOẠI,CV2021-26102
CÔNG TY TNHH SHOPEE EXPRESS,29/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,SHOPEE - ĐIỀU PHỐ HÀNG HÓA,CV2021-26107
CÔNG TY TNHH SHOPEE EXPRESS,29/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,SHOPEE - GIAO HÀNG,CV2021-26108
TIỆM RỬA XE BIBO,30/12/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Nhà Bè,TUYỂN LĐPT RỬA XE ( BAO ĂN Ở),CV2021-26111
NHÀ HÀNG FUSION XP INFINITY,10/01/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 2,TẠP VỤ / BẢO VỆ NHÀ HÀNG,CV2022-26118
PHÒNG ĐẠO TẠO - TRUNG TÂM DỊCH VỤ VIỆC LÀM THANH NIÊN TP. HCM,10/01/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,NHÂN VIÊN GIÁO VỤ,CV2022-26119
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/01/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Thủ Đức,HÀNH CHÁNH VĂN PHÒNG / GIÁO VIÊN,CV2022-26120
HỆ THỐNG CHUỖI NHÀ HÀNG PHỔ NGƯ,12/01/2022,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 1, Quận 3, Quận Bình Thạnh",NHÂN VIÊN PHỤC VỤ / PHỤ BẾP,CV2022-26121
HỦ TIẾU NAM VANG HÒA THUẬN,21/01/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 11,BÁN QUÁN ĂN (THỜI VỤ TẾT),CV2022-26127
KHÁCH SẠN VŨ GIA,08/02/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,LỄ TÂN KHÁCH SẠN,CV2022-26129
CÔNG TY TNHH GUTA VIỆT NAM,24/05/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,CỬA HÀNG TRƯỞNG /CA TRƯỞNG,CV2022-26290
CÔNG TY VIỆT VISA,26/05/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,VĂN PHÒNG/ GIAO NHẬN,CV2022-26295
CÔNG TY TNHH TM DV  DẦU NHỚT SONG PHÁT,31/05/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,NHÂN VIÊN KINH DOANH,CV2022-26298
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CATHAY VIỆT NAM,31/05/2022,Nhân viên,,2,Không yeu cau,Quận 3,QUẢN LÝ KINH DOANH,CV2022-26300
CHI NHÁNH CÔNG TY CỔ PHẦN ZEGAL  VIỆT NAM,31/05/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 11,THỢ THI CÔNG NỘI THẤT,CV2022-26303
CÔNG TY TNHH KINH DOANH GIA THÁI,01/06/2022,Nhân viên,,1,Không yeu cau,Quận Tân Bình,NHÂN VIÊN KINH DOANH,CV2022-26297
CÔNG TY TNHH TM DV THÉP KHƯƠNG MAI,02/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 11,TRƯỞNG PHÒNG KINH DOANH/GIÁM ĐỐC CHI NHÁNH/NHÂN VIÊN KINH DOANH/KẾ TOÁN,CV2022-26307
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BẢO VỆ ĐẠI PHÚC,07/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 10, Quận Bình Tân, Quận Tân Phú",BẢO VỆ - VỆ SĨ - AN NINH,CV2022-26312
BÁNH MÌ NGƯỜI SÀI GÒN,08/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 5,PHỤC VỤ / BÁN HÀNG,CV2022-26315
CÔNG TY CỔ PHẦN XÂY DỰNG  HUYỀN MINH,13/06/2022,Nhân viên,,3,Không yeu cau,Quận Gò Vấp,KỸ SƯ/TÀI CHÍNH KẾ TOÁN,CV2022-26316
CTY TNHH MTV DỊCH VỤ HÀNG HẢI  ĐẠI THỊNH PHÁT,14/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,GIAO NHẬN HÀNG HÓA,CV2022-26318
CÔNG TY TNHH CƠ KHÍ CHÍNH XÁC NHÀ BÈ,15/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Nhà Bè,Nhân Viên Cơ Khí,CV2022-26320
CÔNG TY CỔ PHẦN THƯƠNG MẠI DV DU LỊCH DANDY ISLAND,21/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,NHÂN VIÊN KẾ TOÁN,CV2022-26331
CÔNG TY ĐIỆN CHÂU Á,21/06/2022,Nhân viên,,1,Không yeu cau,Quận 5,KẾ TOÁN BÁN HÀNG/NHÂN VIÊN KINH DOANH,CV2022-26328
"PHƯƠNG NAM CO.,LTD",21/06/2022,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,LAO ĐỘNG PHỔ THÔNG (BAO Ở),CV2022-26325
